EVI,NDVI,NDWI,rainfall,temp,label
2.172271791,0.28347513,-0.2509821,1581.458054,24.07165434,1
2.372675829,0.27013347,-0.23600538,1581.458054,24.07165434,1
2.649611695,0.27128157,-0.230421,1581.458054,24.07165434,1
2.287467134,0.24857143,-0.2150139,1581.458054,24.07165434,0
1.799635701,0.23062558,-0.2055797,1581.458054,24.07165434,0
1.797593772,0.23345588,-0.20819266,1581.458054,24.07165434,0
1.883116883,0.25754884,-0.23157208,1581.458054,24.07165434,1
2.092259848,0.27268633,-0.24274406,1581.458054,24.07165434,1
2.317666126,0.26432532,-0.2263559,1581.458054,24.07165434,1
2.204875962,0.24356249,-0.21039319,1581.458054,24.07165434,0
2.645215211,0.28785813,-0.24456163,1581.458054,24.07165434,1
2.826439578,0.3138226,-0.26156506,1581.458054,24.07165434,1
2.278232406,0.3104371,-0.2620275,1581.458054,24.07165434,1
2.297207447,0.30320317,-0.25740898,1581.458054,24.07165434,1
1.563706564,0.19499278,-0.17407759,1581.458054,24.07165434,0
1.519642857,0.19934411,-0.17836593,1581.458054,24.07165434,0
2.001455604,0.24401064,-0.2130651,1581.458054,24.07165434,0
1.971778685,0.23822342,-0.20340091,1581.458054,24.07165434,0
1.987554905,0.2462585,-0.20579201,1581.458054,24.07165434,0
2.142072501,0.26339486,-0.22962314,1581.458054,24.07165434,1
2.649805447,0.29907772,-0.2587234,1581.458054,24.07165434,1
2.425959781,0.29693443,-0.24859974,1581.458054,24.07165434,1
2.194800921,0.29474148,-0.25106746,1581.458054,24.07165434,1
2.325735051,0.30476192,-0.26373166,1581.458054,24.07165434,1
2.458966565,0.34034497,-0.28831378,1581.458054,24.07165434,1
2.860759494,0.337026,-0.28817734,1581.458054,24.07165434,1
1.926940639,0.20268972,-0.17448406,1581.458054,24.07165434,0
1.540837337,0.20854622,-0.1865025,1581.458054,24.07165434,0
1.586097946,0.22694394,-0.20141655,1581.458054,24.07165434,0
1.488095238,0.19758251,-0.17197452,1581.458054,24.07165434,0
1.479250335,0.2042514,-0.18212746,1581.458054,24.07165434,0
1.51226158,0.24267599,-0.22262852,1581.458054,24.07165434,0
1.831914309,0.28370905,-0.26434857,1581.458054,24.07165434,1
1.921257652,0.29565403,-0.26162183,1581.458054,24.07165434,1
2.204142012,0.31607977,-0.27131146,1581.458054,24.07165434,1
2.342723005,0.31857842,-0.2707137,1581.458054,24.07165434,1
2.341492185,0.3355875,-0.28403088,1581.458054,24.07165434,1
2.786764706,0.3292789,-0.27606338,1581.458054,24.07165434,1
1.830307521,0.22891566,-0.20108695,1581.458054,24.07165434,0
1.672951663,0.22385322,-0.19775534,1581.458054,24.07165434,0
1.538209249,0.21386229,-0.19372198,1581.458054,24.07165434,0
1.521982116,0.1912901,-0.16804408,1581.458054,24.07165434,0
1.871320437,0.20611393,-0.17668323,1581.458054,24.07165434,0
1.753694581,0.23712255,-0.21553229,1581.458054,24.07165434,0
1.595225176,0.25721785,-0.24173687,1581.458054,24.07165434,1
1.749311295,0.27524924,-0.24846171,1581.458054,24.07165434,1
2.136981968,0.2876304,-0.25842696,1581.458054,24.07165434,1
1.825028969,0.26923078,-0.2416388,1581.458054,24.07165434,1
1.760641238,0.277077,-0.24354087,1581.458054,24.07165434,1
2.405017921,0.29862037,-0.25640473,1581.458054,24.07165434,1
2.56592827,0.38231826,-0.33055976,1581.458054,24.07165434,1
1.927374302,0.2717724,-0.23712218,1581.458054,24.07165434,1
1.530054645,0.21675774,-0.19740085,1581.458054,24.07165434,0
1.428571429,0.20315398,-0.1785552,1581.458054,24.07165434,0
1.534622583,0.22102426,-0.19315189,1581.458054,24.07165434,0
1.515410959,0.23361197,-0.22019146,1581.458054,24.07165434,0
1.472148541,0.24374177,-0.23157208,1581.458054,24.07165434,0
1.413409267,0.24010554,-0.22715405,1581.458054,24.07165434,0
1.46594563,0.2210712,-0.20513378,1581.458054,24.07165434,0
1.015876954,0.18212141,-0.17558603,1581.458054,24.07165434,0
1.079056865,0.17951085,-0.18114603,1581.458054,24.07165434,0
1.502940159,0.20656049,-0.18542737,1581.458054,24.07165434,0
3.016500516,0.5435119,-0.4721607,1581.458054,24.07165434,2
3.149350649,0.4827527,-0.41732284,1581.458054,24.07165434,2
2.767552829,0.3358147,-0.287109,1581.458054,24.07165434,1
2.119543846,0.2440018,-0.21270962,1581.458054,24.07165434,0
1.841222512,0.22413793,-0.19327731,1581.458054,24.07165434,0
1.872523118,0.24662897,-0.21672681,1581.458054,24.07165434,0
1.482254697,0.24588744,-0.23044036,1581.458054,24.07165434,0
1.384266263,0.23963335,-0.23317412,1581.458054,24.07165434,0
1.420305103,0.23580787,-0.22590427,1581.458054,24.07165434,0
1.459086428,0.19964029,-0.18236206,1581.458054,24.07165434,0
1.09962406,0.16212471,-0.15280642,1581.458054,24.07165434,0
1.273478588,0.16181384,-0.1573942,1581.458054,24.07165434,0
1.147540984,0.16546069,-0.15903094,1581.458054,24.07165434,0
3.112324493,0.52088773,-0.44720498,1581.458054,24.07165434,2
3.302401747,0.44518027,-0.3777622,1581.458054,24.07165434,2
2.496124031,0.2847038,-0.24560651,1581.458054,24.07165434,1
2.03229618,0.23911029,-0.20858757,1581.458054,24.07165434,0
1.787492222,0.25136733,-0.21805792,1581.458054,24.07165434,1
1.734664765,0.25632378,-0.23702781,1581.458054,24.07165434,1
1.480439785,0.24839126,-0.2372449,1581.458054,24.07165434,0
1.463157895,0.24364592,-0.22830556,1581.458054,24.07165434,0
1.540585312,0.24366812,-0.22074582,1581.458054,24.07165434,0
1.329509906,0.17728853,-0.16620754,1581.458054,24.07165434,0
1.020338983,0.14353839,-0.13434248,1581.458054,24.07165434,0
1.057104011,0.14844869,-0.14707986,1581.458054,24.07165434,0
1.280915467,0.16500238,-0.15811865,1581.458054,24.07165434,0
2.910487288,0.41456056,-0.35795763,1581.458054,24.07165434,2
2.683103698,0.31435853,-0.2656985,1581.458054,24.07165434,1
1.331192006,0.17804296,-0.15570123,1581.458054,24.07165434,0
1.668424754,0.2171128,-0.19282511,1581.458054,24.07165434,0
1.794212219,0.24668436,-0.21998702,1581.458054,24.07165434,0
1.552890529,0.22494432,-0.20772947,1581.458054,24.07165434,0
1.748143564,0.24944812,-0.22404844,1581.458054,24.07165434,0
1.677946983,0.26085052,-0.23063757,1581.458054,24.07165434,1
1.672194583,0.2608883,-0.2371483,1581.458054,24.07165434,1
1.228597176,0.18735684,-0.17979063,1581.458054,24.07165434,0
0.934154176,0.16225012,-0.1574074,1581.458054,24.07165434,0
1.024368231,0.16095486,-0.16068053,1581.458054,24.07165434,0
1.294706724,0.17188984,-0.1625059,1581.458054,24.07165434,0
1.782834101,0.262845,-0.24020016,1581.458054,24.07165434,1
2.09190372,0.2180657,-0.18456078,1581.458054,24.07165434,0
1.352965404,0.15781888,-0.13974935,1581.458054,24.07165434,0
1.775771257,0.21513218,-0.18726341,1581.458054,24.07165434,0
1.877811094,0.22679946,-0.19699647,1581.458054,24.07165434,0
1.537944929,0.2116451,-0.18642534,1581.458054,24.07165434,0
1.650403769,0.22629757,-0.19729729,1581.458054,24.07165434,0
1.664622931,0.24514672,-0.22960322,1581.458054,24.07165434,0
1.815249267,0.26948193,-0.2531156,1581.458054,24.07165434,1
1.669124152,0.2486819,-0.22552824,1581.458054,24.07165434,0
1.470345964,0.23668508,-0.22076789,1581.458054,24.07165434,0
1.355386417,0.21035893,-0.1967655,1581.458054,24.07165434,0
1.198918269,0.18566775,-0.180176,1581.458054,24.07165434,0
0.734797297,0.15223098,-0.16265725,1581.458054,24.07165434,0
1.368623962,0.20219058,-0.18429004,1581.458054,24.07165434,0
1.399842271,0.16737388,-0.13891444,1581.458054,24.07165434,0
1.284680338,0.15342137,-0.13408877,1581.458054,24.07165434,0
1.66437414,0.21860886,-0.19486271,1581.458054,24.07165434,0
1.721002059,0.22585003,-0.19964743,1581.458054,24.07165434,0
1.547919294,0.22369021,-0.19643652,1581.458054,24.07165434,0
1.84706317,0.2293578,-0.19910514,1581.458054,24.07165434,0
1.766286098,0.23865698,-0.21983914,1581.458054,24.07165434,0
2.16449454,0.27365842,-0.25411093,1581.458054,24.07165434,1
3.435768262,0.3069307,-0.26069024,1581.458054,24.07165434,1
2.922105263,0.30817053,-0.26982757,1581.458054,24.07165434,1
2.749381698,0.29500222,-0.25342464,1581.458054,24.07165434,1
1.858974359,0.2605742,-0.24045719,1581.458054,24.07165434,1
0.80831643,0.1667713,-0.17562725,1608.071743,25.42752808,0
1.391116595,0.19737418,-0.17778735,1608.071743,25.42752808,0
1.356898518,0.16674452,-0.1416819,1608.071743,25.42752808,0
1.716315307,0.17520468,-0.15176524,1608.071743,25.42752808,0
1.578947368,0.21380547,-0.19321437,1608.071743,25.42752808,0
1.344009151,0.21076234,-0.19574845,1608.071743,25.42752808,0
1.389452333,0.21613704,-0.19592199,1608.071743,25.42752808,0
1.696078431,0.23516086,-0.21128638,1608.071743,25.42752808,0
1.896162528,0.2606383,-0.23170203,1608.071743,25.42752808,1
2.688483844,0.28934464,-0.26233086,1608.071743,25.42752808,1
3.465246068,0.3131591,-0.26139617,1608.071743,25.42752808,1
3.42737722,0.30119374,-0.25066197,1608.071743,25.42752808,1
3.135215453,0.28996792,-0.24684525,1608.071743,25.42752808,1
2.224080268,0.29077393,-0.2601921,1608.071743,25.42752808,1
0.862275449,0.17763157,-0.18371564,1608.071743,25.42752808,0
1.385789783,0.20379965,-0.18865913,1608.071743,25.42752808,0
1.669322709,0.19071461,-0.16060337,1608.071743,25.42752808,0
1.692406692,0.18234342,-0.15746607,1608.071743,25.42752808,0
1.600253004,0.22192982,-0.20319586,1608.071743,25.42752808,0
1.434937611,0.21649484,-0.19717689,1608.071743,25.42752808,0
1.512090603,0.22252253,-0.20301418,1608.071743,25.42752808,0
1.643814272,0.23755911,-0.21808511,1608.071743,25.42752808,0
2.247771836,0.2778145,-0.24064171,1608.071743,25.42752808,1
3.665291691,0.2853211,-0.24422735,1608.071743,25.42752808,1
3.069636457,0.28191864,-0.22792792,1608.071743,25.42752808,1
3.14059647,0.24641834,-0.20027593,1608.071743,25.42752808,0
2.62207528,0.24565166,-0.20627595,1608.071743,25.42752808,0
2.006892025,0.27027625,-0.23692705,1608.071743,25.42752808,1
1.100893997,0.18442447,-0.17837377,1608.071743,25.42752808,0
1.418901328,0.22889543,-0.21209611,1608.071743,25.42752808,0
1.596040829,0.22395833,-0.20307167,1608.071743,25.42752808,0
1.554817276,0.2087422,-0.1901625,1608.071743,25.42752808,0
1.511958998,0.23137255,-0.21391752,1608.071743,25.42752808,0
1.340798163,0.209511,-0.19662672,1608.071743,25.42752808,0
1.573685908,0.22121488,-0.20053476,1608.071743,25.42752808,0
1.909312022,0.24679992,-0.22156216,1608.071743,25.42752808,0
2.25239071,0.2896991,-0.24222551,1608.071743,25.42752808,1
2.613856589,0.25442111,-0.21572211,1608.071743,25.42752808,1
2.762875536,0.24605829,-0.20601156,1608.071743,25.42752808,0
2.585446527,0.22733882,-0.1887324,1608.071743,25.42752808,0
2.224989622,0.24953446,-0.21889192,1608.071743,25.42752808,0
1.524616199,0.24891962,-0.22717622,1608.071743,25.42752808,0
1.537780401,0.22274476,-0.20777027,1608.071743,25.42752808,0
1.397430014,0.24665856,-0.22605059,1608.071743,25.42752808,0
1.401553106,0.22813456,-0.21598709,1608.071743,25.42752808,0
1.343098312,0.22551063,-0.2039312,1608.071743,25.42752808,0
1.363636364,0.24484749,-0.22864117,1608.071743,25.42752808,0
1.773596545,0.2494577,-0.22735989,1608.071743,25.42752808,0
1.661084044,0.24239057,-0.22069417,1608.071743,25.42752808,0
2.160028705,0.26755556,-0.23196544,1608.071743,25.42752808,1
2.569153395,0.2772501,-0.22092521,1608.071743,25.42752808,1
2.990740741,0.23639913,-0.18939216,1608.071743,25.42752808,0
3.305555556,0.2319688,-0.1862975,1608.071743,25.42752808,0
2.133098281,0.23180076,-0.19683574,1608.071743,25.42752808,0
2.436102236,0.27378815,-0.2382199,1608.071743,25.42752808,1
